"date","hits","geo","time","keyword","gprop","category"
2017-01-15,72,"DE","today+5-y","Aldi Nord","web",0
2017-01-22,69,"DE","today+5-y","Aldi Nord","web",0
2017-01-29,68,"DE","today+5-y","Aldi Nord","web",0
2017-02-05,72,"DE","today+5-y","Aldi Nord","web",0
2017-02-12,68,"DE","today+5-y","Aldi Nord","web",0
2017-02-19,71,"DE","today+5-y","Aldi Nord","web",0
2017-02-26,72,"DE","today+5-y","Aldi Nord","web",0
2017-03-05,73,"DE","today+5-y","Aldi Nord","web",0
2017-03-12,83,"DE","today+5-y","Aldi Nord","web",0
2017-03-19,83,"DE","today+5-y","Aldi Nord","web",0
2017-03-26,90,"DE","today+5-y","Aldi Nord","web",0
2017-04-02,88,"DE","today+5-y","Aldi Nord","web",0
2017-04-09,85,"DE","today+5-y","Aldi Nord","web",0
2017-04-16,74,"DE","today+5-y","Aldi Nord","web",0
2017-04-23,79,"DE","today+5-y","Aldi Nord","web",0
2017-04-30,78,"DE","today+5-y","Aldi Nord","web",0
2017-05-07,75,"DE","today+5-y","Aldi Nord","web",0
2017-05-14,70,"DE","today+5-y","Aldi Nord","web",0
2017-05-21,74,"DE","today+5-y","Aldi Nord","web",0
2017-05-28,83,"DE","today+5-y","Aldi Nord","web",0
2017-06-04,72,"DE","today+5-y","Aldi Nord","web",0
2017-06-11,73,"DE","today+5-y","Aldi Nord","web",0
2017-06-18,69,"DE","today+5-y","Aldi Nord","web",0
2017-06-25,62,"DE","today+5-y","Aldi Nord","web",0
2017-07-02,63,"DE","today+5-y","Aldi Nord","web",0
2017-07-09,72,"DE","today+5-y","Aldi Nord","web",0
2017-07-16,64,"DE","today+5-y","Aldi Nord","web",0
2017-07-23,66,"DE","today+5-y","Aldi Nord","web",0
2017-07-30,66,"DE","today+5-y","Aldi Nord","web",0
2017-08-06,65,"DE","today+5-y","Aldi Nord","web",0
2017-08-13,64,"DE","today+5-y","Aldi Nord","web",0
2017-08-20,62,"DE","today+5-y","Aldi Nord","web",0
2017-08-27,67,"DE","today+5-y","Aldi Nord","web",0
2017-09-03,68,"DE","today+5-y","Aldi Nord","web",0
2017-09-10,76,"DE","today+5-y","Aldi Nord","web",0
2017-09-17,73,"DE","today+5-y","Aldi Nord","web",0
2017-09-24,76,"DE","today+5-y","Aldi Nord","web",0
2017-10-01,77,"DE","today+5-y","Aldi Nord","web",0
2017-10-08,73,"DE","today+5-y","Aldi Nord","web",0
2017-10-15,80,"DE","today+5-y","Aldi Nord","web",0
2017-10-22,82,"DE","today+5-y","Aldi Nord","web",0
2017-10-29,86,"DE","today+5-y","Aldi Nord","web",0
2017-11-05,94,"DE","today+5-y","Aldi Nord","web",0
2017-11-12,86,"DE","today+5-y","Aldi Nord","web",0
2017-11-19,87,"DE","today+5-y","Aldi Nord","web",0
2017-11-26,84,"DE","today+5-y","Aldi Nord","web",0
2017-12-03,85,"DE","today+5-y","Aldi Nord","web",0
2017-12-10,89,"DE","today+5-y","Aldi Nord","web",0
2017-12-17,85,"DE","today+5-y","Aldi Nord","web",0
2017-12-24,83,"DE","today+5-y","Aldi Nord","web",0
2017-12-31,73,"DE","today+5-y","Aldi Nord","web",0
2018-01-07,73,"DE","today+5-y","Aldi Nord","web",0
2018-01-14,66,"DE","today+5-y","Aldi Nord","web",0
2018-01-21,68,"DE","today+5-y","Aldi Nord","web",0
2018-01-28,64,"DE","today+5-y","Aldi Nord","web",0
2018-02-04,72,"DE","today+5-y","Aldi Nord","web",0
2018-02-11,72,"DE","today+5-y","Aldi Nord","web",0
2018-02-18,68,"DE","today+5-y","Aldi Nord","web",0
2018-02-25,65,"DE","today+5-y","Aldi Nord","web",0
2018-03-04,78,"DE","today+5-y","Aldi Nord","web",0
2018-03-11,88,"DE","today+5-y","Aldi Nord","web",0
2018-03-18,75,"DE","today+5-y","Aldi Nord","web",0
2018-03-25,71,"DE","today+5-y","Aldi Nord","web",0
2018-04-01,75,"DE","today+5-y","Aldi Nord","web",0
2018-04-08,79,"DE","today+5-y","Aldi Nord","web",0
2018-04-15,89,"DE","today+5-y","Aldi Nord","web",0
2018-04-22,89,"DE","today+5-y","Aldi Nord","web",0
2018-04-29,80,"DE","today+5-y","Aldi Nord","web",0
2018-05-06,78,"DE","today+5-y","Aldi Nord","web",0
2018-05-13,75,"DE","today+5-y","Aldi Nord","web",0
2018-05-20,80,"DE","today+5-y","Aldi Nord","web",0
2018-05-27,82,"DE","today+5-y","Aldi Nord","web",0
2018-06-03,75,"DE","today+5-y","Aldi Nord","web",0
2018-06-10,66,"DE","today+5-y","Aldi Nord","web",0
2018-06-17,65,"DE","today+5-y","Aldi Nord","web",0
2018-06-24,61,"DE","today+5-y","Aldi Nord","web",0
2018-07-01,64,"DE","today+5-y","Aldi Nord","web",0
2018-07-08,62,"DE","today+5-y","Aldi Nord","web",0
2018-07-15,61,"DE","today+5-y","Aldi Nord","web",0
2018-07-22,67,"DE","today+5-y","Aldi Nord","web",0
2018-07-29,63,"DE","today+5-y","Aldi Nord","web",0
2018-08-05,56,"DE","today+5-y","Aldi Nord","web",0
2018-08-12,61,"DE","today+5-y","Aldi Nord","web",0
2018-08-19,64,"DE","today+5-y","Aldi Nord","web",0
